id,make,model,year,mileage,listing_price,url
2,Ferrari,LaFerrari Base,2015,818,4350000,https://www.cars.com/vehicledetail/5ebcb7e4-af5a-457e-acc1-745961e433f7/
3,Ferrari,LaFerrari Base,2014,2758,4099991,https://www.cars.com/vehicledetail/60494e12-b349-4855-97b7-0352ed59d734/
4,Bugatti,Chiron,2018,4064,3799999,https://www.cars.com/vehicledetail/85c3e645-0752-401c-bf28-21c20f602b59/
5,Bugatti,Chiron,2018,1080,3575000,https://www.cars.com/vehicledetail/c7afc3bd-b826-475d-9d70-51f98a48f2d2/
6,Koenigsegg,Regera,2021,503,3500000,https://www.cars.com/vehicledetail/acfa20ea-3c27-4b89-9879-44882a6fbb7d/
7,Lamborghini,Aventador LP770-4,2017,445,3399900,https://www.cars.com/vehicledetail/543c0782-515f-4e9a-8f45-52dd5a201a05/
8,Bugatti,Veyron Super Sport,2012,4100,3350000,https://www.cars.com/vehicledetail/d42a7308-dd43-4ce2-a138-a42d1fa8ec3f/
9,Bugatti,Chiron,2019,1760,3299000,https://www.cars.com/vehicledetail/60648bdf-6e13-4859-af74-45db00a763c9/
10,Maserati,Quattroporte Base,2005,32000,2954083,https://www.cars.com/vehicledetail/c6912aa8-d307-4d77-aa8c-627d7a8bccad/
12,Ferrari,F40,1991,28258,2550000,https://www.cars.com/vehicledetail/c17f1c2d-1b5f-4956-be88-458b41ccb547/
13,McLaren,Elva,2021,89,2499989,https://www.cars.com/vehicledetail/df491384-882a-4933-abb4-6ec156ff75d2/
14,Lamborghini,Aventador SVJ Base,2021,1220,2000000,https://www.cars.com/vehicledetail/e032ae3a-3579-4f50-81d1-11570c3ef45c/
15,Porsche,Carrera GT,2005,780,2000000,https://www.cars.com/vehicledetail/2269d0c7-648d-43e9-8885-0206633b8af4/
17,Maybach,Type 62 S,2012,38468,1999000,https://www.cars.com/vehicledetail/b5100eeb-e415-4b45-a571-3d635827e5ab/
18,Porsche,918 Spyder w/Weissach Pkg,2015,1985,1979800,https://www.cars.com/vehicledetail/459b904a-2f4a-4271-bf48-7395f2053631/
19,Porsche,Carrera GT,2005,2748,1875000,https://www.cars.com/vehicledetail/96c562b8-9c60-40a9-a1a7-96d75bbd4f00/
20,Bugatti,Veyron 16.4,2008,2150,1800000,https://www.cars.com/vehicledetail/0a544d00-efa1-4e67-a6a8-6077aa2002bc/
21,Bugatti,Veyron 16.4 1,2008,8120,1799900,https://www.cars.com/vehicledetail/f2ebd8fd-8456-45ca-ac5a-07d16fe86ecb/
22,Porsche,Carrera GT,2004,4752,1799888,https://www.cars.com/vehicledetail/709dfbc7-fbca-47e6-93e0-b70321282cb0/
24,Porsche,Carrera GT,2005,1715,1750000,https://www.cars.com/vehicledetail/73384002-b08f-463a-ba8b-ffc402c03277/
25,McLaren,Elva,2021,903,1699990,https://www.cars.com/vehicledetail/9a1f13c5-6f96-444f-a9c7-0f52fc06be5e/
26,McLaren,Senna,2019,1886,1595000,https://www.cars.com/vehicledetail/4afdbadc-82ba-40e2-b30e-e11527efb5e9/
37,Ferrari,F12berlinetta Base,2017,2425,1569000,https://www.cars.com/vehicledetail/b44777e2-c4df-448f-9ab0-31e94bd29973/
38,Porsche,Carrera GT Base (M6),2004,4376,1549991,https://www.cars.com/vehicledetail/74e32da9-52b7-4148-b693-ca8685c68de5/
39,Porsche,Carrera GT,2005,15100,1500000,https://www.cars.com/vehicledetail/bf4bc794-b001-4683-953f-c9448d7c9df6/
40,Porsche,Carrera GT,2005,9700,1499995,https://www.cars.com/vehicledetail/fa49bfb0-d5fb-4e80-8002-dfdd74c7def2/
41,Mercedes-Benz,G-Class G 63 AMG,2014,5993,1499989,https://www.cars.com/vehicledetail/7fc64cd4-ac3c-49c6-a891-4935c11e10f6/
42,Porsche,Carrera GT,2005,5069,1499000,https://www.cars.com/vehicledetail/9ac0bbb3-241c-4724-bd60-ede55bf68d92/
43,Porsche,Carrera GT,2005,2150,1495000,https://www.cars.com/vehicledetail/0899c58f-9013-483a-b368-76395897ac07/
44,Porsche,911 Turbo 3.6,1994,12830,1399995,https://www.cars.com/vehicledetail/bc875d00-b5e2-4cb2-aec7-ff9480ba8fd7/
45,McLaren,Senna GTR,2020,820,1399890,https://www.cars.com/vehicledetail/9c9efd19-e0b5-4ddd-a8c8-b1f31f6c91f5/
46,McLaren,Senna,2019,3949,1349800,https://www.cars.com/vehicledetail/52be31d7-fead-4f2e-8f8b-d656da527797/
47,McLaren,Senna,2019,245,1299500,https://www.cars.com/vehicledetail/df203e8b-8042-4200-b1d2-c4b01bf75b09/
48,Ford,GT,2020,24,1295000,https://www.cars.com/vehicledetail/5cde1e91-d54d-4c50-a0ac-0be1a4d1be77/
49,Mercedes-Benz,G-Class SUV,2014,7412,1250000,https://www.cars.com/vehicledetail/316197f9-fe50-4dce-8681-5e6f824b98df/
50,McLaren,Senna,2019,2912,1249000,https://www.cars.com/vehicledetail/a6760b15-b47f-4a7e-b67d-8ecb8618ad33/
51,Mercedes-Benz,G-Class 650,2018,100,1199990,https://www.cars.com/vehicledetail/75400a40-06c4-4e25-9420-615484060b90/
52,McLaren,Senna,2019,4953,1199990,https://www.cars.com/vehicledetail/40705cc9-07a7-43e9-a231-759961fb1442/
53,McLaren,Senna,2019,2476,1199937,https://www.cars.com/vehicledetail/8ff4c5ed-1906-48f4-b7a3-7966dc69994c/
54,Lamborghini,Aventador SVJ Base,2020,126,1179995,https://www.cars.com/vehicledetail/38402609-0063-4aa2-bbe0-9c83e3120ebb/
55,Porsche,Carrera GT,2004,35824,1125000,https://www.cars.com/vehicledetail/c3192c9a-5c1b-46bb-a1b8-16ae4eab6829/
56,Ferrari,488 Pista Base,2020,430,1099000,https://www.cars.com/vehicledetail/68866187-83c1-4bdb-b44e-35454fae1fd7/
57,Lexus,LFA,2012,66,1078900,https://www.cars.com/vehicledetail/1bbd0311-1e20-4270-aa69-29e926ea0abf/
58,McLaren,Senna,2019,5086,1074950,https://www.cars.com/vehicledetail/4d15cc6e-880d-428b-9d9f-c1b116fcae8f/
59,Ferrari,599 GTO Base,2011,5958,1049900,https://www.cars.com/vehicledetail/1cdc7da6-c2c2-426a-bf19-c0bcee425429/
60,Ferrari,599 GTO Base,2011,1909,1040000,https://www.cars.com/vehicledetail/5d150422-41d5-4c38-8125-32313a82db3c/
65,Lamborghini,Aventador SVJ Base,2020,2908,999995,https://www.cars.com/vehicledetail/9d0a5394-6f3b-4271-a13e-1333f6db0c70/
66,Aston Martin,Vantage Base,2023,303,995995,https://www.cars.com/vehicledetail/2e48facb-5acd-4d5f-b231-23d56549d90f/
67,Ferrari,SF90 Spider,2022,491,991000,https://www.cars.com/vehicledetail/d3e053f5-bdb0-436c-8747-6ddb18b0de5a/
68,Ferrari,458 Speciale Base,2015,90,979995,https://www.cars.com/vehicledetail/861a1cca-50ba-44a3-a6d4-a9ebfab9101d/
69,Ferrari,458 Speciale Base,2015,3144,975000,https://www.cars.com/vehicledetail/72f3f2e7-620b-4c9b-a75b-31402d8ec4fd/
70,Mercedes-Benz,SLS AMG Black Series Base,2014,2800,949995,https://www.cars.com/vehicledetail/ceff5958-6f81-4b85-b0be-b9eb06e1db8a/
71,Lexus,LFA,2012,4611,946900,https://www.cars.com/vehicledetail/7c19c640-b5e6-47e7-8fe7-ba5202b8858e/
72,Ferrari,SF90 Spider Base,2022,221,939900,https://www.cars.com/vehicledetail/6568641c-8443-47c6-ad4c-6912fb42056c/
